time	V(vout)
Step Information: X=494.1  (Run: 6/6)
4.290000000000000e-003	4.209442e+002
4.290017256197860e-003	4.209814e+002
4.290051768593581e-003	4.210545e+002
4.290120793385023e-003	4.211644e+002
4.290250000000000e-003	4.212753e+002
4.297750000000000e-003	4.159800e+002
4.297759880464308e-003	4.159731e+002
4.297779641392924e-003	4.159592e+002
4.297819163250155e-003	4.159529e+002
4.297898206964618e-003	4.160048e+002
4.297898231816433e-003	4.160048e+002
4.297898977370891e-003	4.160067e+002
4.297899772628980e-003	4.160087e+002
4.297901363145158e-003	4.160128e+002
4.297904544177514e-003	4.160210e+002
4.297910906242226e-003	4.160374e+002
4.297923630371649e-003	4.160702e+002
4.297949078630494e-003	4.161359e+002
4.297950644294842e-003	4.161399e+002
4.297952234811006e-003	4.161440e+002
4.297955415843332e-003	4.161522e+002
4.297961777907985e-003	4.161686e+002
4.297974651149586e-003	4.162017e+002
4.298000000000001e-003	4.162668e+002
4.300000000000000e-003	4.209925e+002
4.300025000000000e-003	4.210463e+002
4.300075000000000e-003	4.211322e+002
4.300150000000000e-003	4.211768e+002
4.300250000000000e-003	4.211364e+002
4.307750000000000e-003	4.158428e+002
4.307775000000000e-003	4.158253e+002
4.307825000000000e-003	4.158147e+002
4.307900000000000e-003	4.158600e+002
4.307900024414063e-003	4.158601e+002
4.307900756835938e-003	4.158619e+002
4.307901538085937e-003	4.158640e+002
4.307903100585937e-003	4.158680e+002
4.307906225585937e-003	4.158760e+002
4.307912475585938e-003	4.158921e+002
4.307924975585938e-003	4.159244e+002
4.307949975585938e-003	4.159890e+002
4.307951513671839e-003	4.159929e+002
4.307953076171801e-003	4.159969e+002
4.307956201171727e-003	4.160050e+002
4.307962451171578e-003	4.160211e+002
4.307975097659229e-003	4.160537e+002
4.308000000000000e-003	4.161177e+002
4.310000000000000e-003	4.208470e+002
4.310024877308806e-003	4.209005e+002
4.310074631926421e-003	4.209860e+002
4.310150490764772e-003	4.210312e+002
4.310250000000000e-003	4.209913e+002
4.317750000000000e-003	4.156996e+002
4.317775000000000e-003	4.156820e+002
4.317825000000000e-003	4.156715e+002
4.317900000000000e-003	4.157169e+002
4.317900024414063e-003	4.157169e+002
4.317900756835938e-003	4.157188e+002
4.317901538085938e-003	4.157208e+002
4.317903100585938e-003	4.157248e+002
4.317906225585938e-003	4.157328e+002
4.317912475585938e-003	4.157490e+002
4.317924975585938e-003	4.157813e+002
4.317949975585938e-003	4.158459e+002
4.317951513671894e-003	4.158499e+002
4.317953076171912e-003	4.158539e+002
4.317956201171948e-003	4.158620e+002
4.317962451172022e-003	4.158781e+002
4.317975097654790e-003	4.159107e+002
4.318000000000001e-003	4.159748e+002
4.320000000000000e-003	4.207093e+002
4.320017256197861e-003	4.207465e+002
4.320051768593581e-003	4.208196e+002
4.320120793385024e-003	4.209296e+002
4.320250000000000e-003	4.210405e+002
4.327750000000000e-003	4.157482e+002
4.327759880466290e-003	4.157413e+002
4.327779641398869e-003	4.157274e+002
4.327819163264027e-003	4.157212e+002
4.327898206994344e-003	4.157730e+002
4.327898231846152e-003	4.157731e+002
4.327898977400393e-003	4.157750e+002
4.327899772658250e-003	4.157770e+002
4.327901363173963e-003	4.157811e+002
4.327904544205390e-003	4.157892e+002
4.327910906268244e-003	4.158056e+002
4.327923630393951e-003	4.158385e+002
4.327949078645365e-003	4.159042e+002
4.327950644309221e-003	4.159083e+002
4.327952234824885e-003	4.159124e+002
4.327955415856212e-003	4.159206e+002
4.327961777918866e-003	4.159370e+002
4.327974651159796e-003	4.159701e+002
4.328000000000000e-003	4.160352e+002
4.330000000000000e-003	4.207632e+002
4.330025000000000e-003	4.208170e+002
4.330074999999999e-003	4.209030e+002
4.330150000000001e-003	4.209477e+002
4.330250000000000e-003	4.209073e+002
4.337750000000001e-003	4.156166e+002
4.337775000000000e-003	4.155991e+002
4.337825000000000e-003	4.155885e+002
4.337900000000000e-003	4.156339e+002
4.337900024414063e-003	4.156339e+002
4.337900756835938e-003	4.156358e+002
4.337901538085938e-003	4.156378e+002
4.337903100585938e-003	4.156418e+002
4.337906225585938e-003	4.156499e+002
4.337912475585938e-003	4.156660e+002
4.337924975585938e-003	4.156983e+002
4.337949975585938e-003	4.157629e+002
4.337951513671839e-003	4.157669e+002
4.337953076171802e-003	4.157709e+002
4.337956201171727e-003	4.157790e+002
4.337962451171578e-003	4.157951e+002
4.337975097659230e-003	4.158276e+002
4.337987499694987e-003	4.158596e+002
4.338000000000001e-003	4.158917e+002
4.340000000000000e-003	4.206238e+002
4.340024877308807e-003	4.206775e+002
4.340074631926421e-003	4.207630e+002
4.340150490764772e-003	4.208083e+002
4.340250000000000e-003	4.207684e+002
4.347750000000000e-003	4.154795e+002
4.347775000000000e-003	4.154620e+002
4.347825000000000e-003	4.154514e+002
4.347900000000000e-003	4.154969e+002
4.347900024414063e-003	4.154969e+002
4.347900756835938e-003	4.154988e+002
4.347901538085937e-003	4.155008e+002
4.347903100585937e-003	4.155049e+002
4.347906225585937e-003	4.155129e+002
4.347912475585938e-003	4.155291e+002
4.347924975585938e-003	4.155614e+002
4.347949975585938e-003	4.156260e+002
4.347951513671839e-003	4.156300e+002
4.347953076171801e-003	4.156340e+002
4.347956201171727e-003	4.156421e+002
4.347962451171578e-003	4.156582e+002
4.347975097659229e-003	4.156909e+002
4.348000000000000e-003	4.157550e+002
4.350000000000000e-003	4.204929e+002
4.350024877308806e-003	4.205466e+002
4.350074631926421e-003	4.206323e+002
4.350150490764772e-003	4.206777e+002
4.350250000000000e-003	4.206378e+002
4.357750000000001e-003	4.153506e+002
4.357775000000000e-003	4.153331e+002
4.357825000000000e-003	4.153226e+002
4.357900000000001e-003	4.153681e+002
4.357900024414063e-003	4.153682e+002
4.357900756835938e-003	4.153701e+002
4.357901538085938e-003	4.153721e+002
4.357903100585938e-003	4.153761e+002
4.357906225585938e-003	4.153841e+002
4.357912475585938e-003	4.154003e+002
4.357924975585938e-003	4.154326e+002
4.357949975585938e-003	4.154974e+002
4.357951513671894e-003	4.155014e+002
4.357953076171912e-003	4.155054e+002
4.357956201171949e-003	4.155135e+002
4.357962451172022e-003	4.155297e+002
4.357975097654791e-003	4.155623e+002
4.358000000000001e-003	4.156265e+002
4.360000000000000e-003	4.203705e+002
4.360017256197861e-003	4.204078e+002
4.360051768593581e-003	4.204811e+002
4.360120793385024e-003	4.205914e+002
4.360250000000000e-003	4.207027e+002
4.367750000000000e-003	4.154147e+002
4.367759880466290e-003	4.154077e+002
4.367779641398869e-003	4.153939e+002
4.367819163264028e-003	4.153877e+002
4.367898206994344e-003	4.154398e+002
4.367898231846152e-003	4.154398e+002
4.367898977400393e-003	4.154417e+002
4.367899772658250e-003	4.154438e+002
4.367901363173963e-003	4.154478e+002
4.367904544205390e-003	4.154560e+002
4.367910906268244e-003	4.154724e+002
4.367923630393951e-003	4.155054e+002
4.367949078645365e-003	4.155712e+002
4.367950644309221e-003	4.155753e+002
4.367952234824885e-003	4.155794e+002
4.367955415856212e-003	4.155876e+002
4.367961777918867e-003	4.156040e+002
4.367974651159796e-003	4.156372e+002
4.368000000000000e-003	4.157025e+002
4.370000000000000e-003	4.204409e+002
4.370025000000000e-003	4.204948e+002
4.370074999999999e-003	4.205811e+002
4.370150000000001e-003	4.206259e+002
4.370250000000000e-003	4.205856e+002
4.377750000000001e-003	4.152990e+002
4.377775000000000e-003	4.152815e+002
4.377825000000000e-003	4.152710e+002
4.377900000000001e-003	4.153166e+002
4.377900024414063e-003	4.153166e+002
4.377900756835938e-003	4.153185e+002
4.377901538085938e-003	4.153205e+002
4.377903100585938e-003	4.153245e+002
4.377906225585938e-003	4.153326e+002
4.377912475585938e-003	4.153487e+002
4.377924975585939e-003	4.153811e+002
4.377949975585938e-003	4.154458e+002
4.377951513671839e-003	4.154498e+002
4.377953076171802e-003	4.154539e+002
4.377956201171727e-003	4.154619e+002
4.377962451171578e-003	4.154781e+002
4.377975097659230e-003	4.155107e+002
4.378000000000001e-003	4.155749e+002
4.380000000000000e-003	4.203182e+002
4.380024877308807e-003	4.203719e+002
4.380074631926421e-003	4.204577e+002
4.380150490764772e-003	4.205032e+002
4.380250000000001e-003	4.204635e+002
4.387750000000000e-003	4.151784e+002
4.387775000000000e-003	4.151609e+002
4.387825000000000e-003	4.151504e+002
4.387900000000000e-003	4.151961e+002
4.387900024414063e-003	4.151961e+002
4.387900756835938e-003	4.151980e+002
4.387901538085937e-003	4.152000e+002
4.387903100585937e-003	4.152040e+002
4.387906225585938e-003	4.152121e+002
4.387912475585938e-003	4.152283e+002
4.387924975585938e-003	4.152607e+002
4.387949975585938e-003	4.153255e+002
4.387951513671839e-003	4.153295e+002
4.387953076171802e-003	4.153335e+002
4.387956201171727e-003	4.153416e+002
4.387962451171578e-003	4.153578e+002
4.387975097659229e-003	4.153905e+002
4.388000000000000e-003	4.154547e+002
4.390000000000000e-003	4.202045e+002
4.390024877308807e-003	4.202584e+002
4.390074631926421e-003	4.203443e+002
4.390150490764772e-003	4.203899e+002
4.390250000000000e-003	4.203502e+002
4.397750000000001e-003	4.150665e+002
4.397775000000001e-003	4.150490e+002
4.397825000000000e-003	4.150386e+002
4.397900000000001e-003	4.150844e+002
4.397900024414063e-003	4.150844e+002
4.397900756835938e-003	4.150863e+002
4.397901538085938e-003	4.150883e+002
4.397903100585938e-003	4.150923e+002
4.397906225585938e-003	4.151004e+002
4.397912475585938e-003	4.151166e+002
4.397924975585939e-003	4.151490e+002
4.397949975585938e-003	4.152140e+002
4.397951513671894e-003	4.152180e+002
4.397953076171912e-003	4.152220e+002
4.397956201171949e-003	4.152301e+002
4.397962451172022e-003	4.152463e+002
